,post,tweet_id,retweeted,timestamp,screenname,name
66,"RT @TheCW_Legends: Grab your friends!  East Coast, a new episode of DC’s #LegendsOfTomorrow starts NOW on The CW! https://t.co/vVqeL3NyTB",1227412135656841222,False,2020-02-12 02:00:32,CW_Arrow,Arrow
67,RT @CW_TheFlash: Team Flash will be tested. New episode of #TheFlash starts NOW! https://t.co/OMzv49h1fu,1227396991258222597,False,2020-02-12 01:00:21,CW_Arrow,Arrow
68,"RT @blacklightning: It’s going down in Markovia.  East Coast, a new episode of #BlackLightning starts NOW on The CW! https://t.co/V0VEePyXgI",1227049645710331904,False,2020-02-11 02:00:07,CW_Arrow,Arrow
69,The Arrowverse won't be the same without him. Stream the entire 5-episode crossover free only on The CW App:… https://t.co/1f6F0hHziF,1225509657403416578,False,2020-02-06 20:00:45,CW_Arrow,Arrow
70,RT @esmailcorp: #LoveYourPetDay https://t.co/bRD8GKg1w8,1230580488663859200,False,2020-02-20 19:50:26,whoismrrobot,Mr. Robot
71,"RT @SYFYWIRE: Despite its dark outlook, #MrRobot ends on a hopeful note. https://t.co/YPqbHgmFru",1219632146891014146,False,2020-01-21 14:45:38,whoismrrobot,Mr. Robot
72,"@USA_Network It’s an exciting time in the world, friend. #MrRobot https://t.co/Xza1MZEgar",1215354266904416258,False,2020-01-09 19:26:52,whoismrrobot,Mr. Robot
73,"@treetoplant Hello, friend. Thank you for being a part of our revolution till the very end. Your loyalty didn't go… https://t.co/HL5PZPLlM6",1214979024155484160,False,2020-01-08 18:35:47,whoismrrobot,Mr. Robot
74,"@SiBanthorpe Hello, friend. Thank you for being a part of our revolution till the very end. Your loyalty didn't go… https://t.co/nx0pK3pIjo",1214978991536451587,False,2020-01-08 18:35:39,whoismrrobot,Mr. Robot
75,"@jordanwilletts3 Hello, friend. Thank you for being a part of our revolution till the very end. Your loyalty didn't… https://t.co/B55B6jDEtP",1214978959152222209,False,2020-01-08 18:35:31,whoismrrobot,Mr. Robot
76,"@NellyBelle3379 @USA_Network Hello, friend. Thank you for being a part of our revolution till the very end. Your lo… https://t.co/e8kf3s16vh",1214978924398202882,False,2020-01-08 18:35:23,whoismrrobot,Mr. Robot
77,"@lovealderson @USA_Network Hello, friend. Thank you for being a part of our revolution till the very end. Your loya… https://t.co/IjxyIQngEH",1214978891787513858,False,2020-01-08 18:35:15,whoismrrobot,Mr. Robot
78,"@blind_bombshell Hello, friend. Thank you for being a part of our revolution till the very end. Your loyalty didn't… https://t.co/X6bLw7xCs2",1214978859906539526,False,2020-01-08 18:35:08,whoismrrobot,Mr. Robot
79,"@TessaRuid @samesmail @USA_Network @GeogBucky Hello, friend. Thank you for being a part of our revolution till the… https://t.co/7nN8El4ssC",1214978816852086789,False,2020-01-08 18:34:57,whoismrrobot,Mr. Robot
80,RT @DanielMoncada80: #BetterCallSaul Season 5 premieres tomorrow on @AMC_TV Catch up on season 4 on @netflix @BetterCallSaul @BreakingBad…,1231318895556005889,False,2020-02-22 20:44:36,BreakingBad,Breaking Bad
81,@kriegerr8 10/9c and then back in the regular timeslot Monday 9/8c,1231000027100778496,False,2020-02-21 23:37:31,BreakingBad,Breaking Bad
82,@CoryCory777 @BetterCallSaul Oh my dude. You're in for a treat.,1230972244739973121,False,2020-02-21 21:47:08,BreakingBad,Breaking Bad
83,Ooooooooooooh shitttttttttt https://t.co/PboyF3HYyR,1230959599680880642,False,2020-02-21 20:56:53,BreakingBad,Breaking Bad
84,RT @Breakbadquotes: #breakingbad https://t.co/lR6dNbzhqx,1230919160751951902,False,2020-02-21 18:16:11,BreakingBad,Breaking Bad
85,"RT @BetterCallSaul: Not sure who needs to hear this, but no one has this range. https://t.co/fRDO8tERPg",1230639215555289088,False,2020-02-20 23:43:47,BreakingBad,Breaking Bad
86,You love to see it https://t.co/gDUaxwyMeE,1230602766671732736,False,2020-02-20 21:18:57,BreakingBad,Breaking Bad
87,"RT @TomSchnauz: I love our talented crew, and the VFX team are unsung heroes who do things on screen that are never noticed by most of the…",1230569318523469825,False,2020-02-20 19:06:03,BreakingBad,Breaking Bad
88,"RT @FXRodeo: Check out our #VFX Breakdown of #ElCamino: A @BreakingBad Movie, where Jesse Pinkman finally gets the freedom he deserves, wit…",1230478678150258689,False,2020-02-20 13:05:52,BreakingBad,Breaking Bad
89,Btw don’t forget that @BetterCallSaul is back Feb 23 &amp; 24 🤗,1230247541926768640,False,2020-02-19 21:47:25,BreakingBad,Breaking Bad
90,"Happy Birthday to our brilliant Nine Ball, Rihanna! https://t.co/EMis9o4NnP",1230560516159889410,False,2020-02-20 18:31:04,oceans8movie,Oceans8Movie
91,Happy Birthday to the great Sandra Bullock! https://t.co/tuzQf1WZ6x,1154798228522487808,False,2019-07-26 16:58:47,oceans8movie,Oceans8Movie
92,"RT @KitchenMovie: If you can’t stand the heat, get out of Hell’s Kitchen. @melissamccarthy, @TiffanyHaddish, and Elisabeth Moss star in #Th…",1151186410319204352,False,2019-07-16 17:46:42,oceans8movie,Oceans8Movie
93,Wishing a Happy Birthday to the brilliant @mindykaling! https://t.co/aB1RnJGv0S,1143203251103289345,False,2019-06-24 17:04:29,oceans8movie,Oceans8Movie
94,“Follow the Queen. Live your dream.” Happy Birthday to @Awkwafina! https://t.co/aSxMsdhu2W,1135259790215565312,False,2019-06-02 19:00:00,oceans8movie,Oceans8Movie
95,Wishing Helena Bonham Carter a happy birthday! https://t.co/yxbH1ciUKH,1132692879116128257,False,2019-05-26 17:00:01,oceans8movie,Oceans8Movie
96,Wishing Cate Blanchett a very happy birthday! https://t.co/S3iMGHErO7,1128344220262129664,False,2019-05-14 17:00:00,oceans8movie,Oceans8Movie
97,Which way to the Gala? https://t.co/nKwOPe3UfH,1125565016306925568,False,2019-05-07 00:56:26,oceans8movie,Oceans8Movie
98,"Happy Birthday Bad Gal, @rihanna. https://t.co/SaGsYhrbIE",1098275003378806784,False,2019-02-20 17:35:40,oceans8movie,Oceans8Movie
99,Congrats to the #Oceans8 costume designer Sarah Edwards on her CDG nomination! https://t.co/HAIm1G78vb,1083498281966006272,False,2019-01-10 22:58:15,oceans8movie,Oceans8Movie
