TW_ID,TW_DETAIL,TW_HASHTAG,USR_ID
21814,RT @TomCruise: Dropping in. Summer ’18. #MissionImpossibleFallout https://t.co/QV0ruZyVbi,#MissionImpossibleFallout,1110565597849570000
21815,RT @HBOINDIA: Hint: Hes the only villain who has appeared in two Mission Impossible movies #MissionImpossibleFallout https://t.co/ozbVd26y…,#MissionImpossibleFallout,2253589974
21816,Hint: Hes the only villain who has appeared in two Mission Impossible movies #MissionImpossibleFallout https://t.co/ozbVd26yDF,#MissionImpossibleFallout,48328524
21817,"Lucky Find in my local CEX, M:I Fallout 4K for £15 ?? #Steelbook #missionimpossiblefallout #cex https://t.co/pM99pVDHQM",#MissionImpossibleFallout,2320757171
21818,#MissionImpossibleFallOut is set in #Paris and its just impossible not to love it. #TomCruise #movietwit… https://t.co/dNLFX8qDyc,#MissionImpossibleFallout,3050629049
21819,2) #Fallout is one the best examples  (of recent times) why movies are made for the big screen and WHY they should… https://t.co/dGV3mE266Z,#MissionImpossibleFallout,1046996584288980000
21820,That bike scene from #MissionImpossibleFallout is orgasmic????\nHonest view ????\n#MiFallout #Fallout #MissionImpossible #TomCruise,#MissionImpossibleFallout,1046996584288980000
21821,Class has struggled to focus this afternoon. Change of tactic required. Hits play on #MissionImpossibleFallout by… https://t.co/b2KbrSTegp,#MissionImpossibleFallout,68799317
21822,"Background score of new #ThumsUp ad is very similar to Friction - Imagine Dragons score, which was used in… https://t.co/nZwHhFsdkS",#MissionImpossibleFallout,63797855
21823,RT @HBOINDIA: The ultimate showdown has arrived. Choose your side. \u200b\n\n#TheHuntIsOnHBO #MI6 #MissionImpossibleFallout https://t.co/2gcxkyg5Hc,#MissionImpossibleFallout,903610021
21824,RT @HBOINDIA: Bad idea: Jumping off the plane. \u200b\nGood idea: Watching #EthanHunt do it.\u200b\n\n#TheHuntIsOnHBO #MI6 #MissionImpossibleFallout htt…,#MissionImpossibleFallout,1087325670349230000
21825,My favorite movie from each year of the 2010s. (2019 result may vary.) Had a hard time picking between… https://t.co/54TjDDesT9,#MissionImpossibleFallout,1716667273
21826,"RT @TomCruise: Thank you to the amazing cast, crew and people of Abu Dhabi. That’s a wrap. #MissionImpossibleFallout https://t.co/yKhcO9Cy61",#MissionImpossibleFallout,1051525201094150000
21827,"And with the end of #MissionImpossibleFallout, my binge has come to and end. This may have been the first in the fr… https://t.co/CzxgEnZulu",#MissionImpossibleFallout,428846654
21828,May as well make it a triple feature and round out the weekend with the first Mission Impossible film I ever watche… https://t.co/FzP84fSDUl,#MissionImpossibleFallout,428846654
21829,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,611623330
21830,"Mission: Impossible - Fallout (2018) - Read 1,349 Movie Reviews \nLink: https://t.co/sXZiwsQebV \n#MissionImpossibleFallout",#MissionImpossibleFallout,4228094679
21831,"“They were believers in a cause, and when that cause turned out to be a lie they turned against their masters” #missionimpossiblefallout",#MissionImpossibleFallout,1017345466827090000
21832,RT @adnzafar: #zavviexclusive PAYDAY DEALS\n\n{https://t.co/8M0heL5bQ2}\n\n#England #wales #Scotland #londonislovinit #gameblogger #gameblogger…,#MissionImpossibleFallout,1103955416
21833,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,456074914
21834,#zavviexclusive PAYDAY DEALS\n\n{https://t.co/8M0heL5bQ2}\n\n#England #wales #Scotland #londonislovinit #gameblogger… https://t.co/i59AHdcEhO,#MissionImpossibleFallout,116827742
21835,Testing out my new Atmos surround amp the correct way!! #missionimpossiblefallout @MissionFilm https://t.co/Yy64r7b2qI,#MissionImpossibleFallout,21604733
21836,RT @THR: Tom Cruise shares video detailing insane HALO jump stunt from #MissionImpossibleFallout https://t.co/NaEUXXcvlb https://t.co/y2QTK…,#MissionImpossibleFallout,836940867348885000
21837,#missionimpossiblefallout is soon becoming the #sooryavansham of @HBOINDIA  Heera Thakur is on his way to rescue… https://t.co/gNZw39Cyec,#MissionImpossibleFallout,120177366
21838,"Think Abbas Mastan made this film, too many twists!!! #missionImpossibleFallout",#MissionImpossibleFallout,66467134
21839,Henry Cavill is so waste in #missionImpossibleFallout \n\nFrom superman to super nothing.,#MissionImpossibleFallout,66467134
21840,Definitively the best mission yet..!!\n #missionimpossiblefallout ?????? @simonpegg @TomCruise https://t.co/dCuEXrRjde,#MissionImpossibleFallout,841726972715651000
21841,"RT @EdsFilmicForays: #MissionImpossibleFallout - Out on DVD/Blu-ray. HE DOES HIS OWN STUNTS, YKNOW. Heres my spoiler-free review: https:/…",#MissionImpossibleFallout,24939047
21842,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,2969341059
21843,@Skydance Love this guy. #MissionImpossibleFallout,#MissionImpossibleFallout,1050968042396570000
21844,"RT @HBOINDIA: Sometimes, you have to take matters in your own hands (literally).  #TheHuntIsOnHBO #MI6 #MissionImpossibleFallout https://t.…",#MissionImpossibleFallout,927151494901612000
21845,"Like #Logan before it @c_cube_review left a #movie off his top ten list of 2018 and it was as well made, if not mor… https://t.co/3guckivtjd",#MissionImpossibleFallout,771496541756411000
21846,Watching #MissionImpossibleFallout ???? #TomCruise #HenryCavill ???? https://t.co/zXqkKWyHvw,#MissionImpossibleFallout,155933967
21847,Lets go! #pathe #zwolle #rewindfestival 3/7 #MissionImpossibleFallout https://t.co/n9NejpNo8z,#MissionImpossibleFallout,243350702
21848,How balling is the #JohnWick3 trailer?\n\nIll say its the nightmare #MissionImpossibleFallout has on its worst nig… https://t.co/YMV5AO2iCO,#MissionImpossibleFallout,3179238396
21849,"RT @sweeps4peeps: Another #MissionImpossibleFallout #giveaway! \n\n#TomCruise and #AlecBaldwin star in this #movie by #StarWars, #StarTrek an…",#MissionImpossibleFallout,366771783
21850,"RT @sweeps4peeps: Another #MissionImpossibleFallout #giveaway! \n\n#TomCruise and #AlecBaldwin star in this #movie by #StarWars, #StarTrek an…",#MissionImpossibleFallout,1100332060449910000
21851,"Another #MissionImpossibleFallout #giveaway! \n\n#TomCruise and #AlecBaldwin star in this #movie by #StarWars,… https://t.co/oHXybdJxtM",#MissionImpossibleFallout,908028954510012000
21852,"RT @HBOINDIA: #ContestAlert\u200b\n\nIf youre a true Mission Impossible fan, you really dont need a hint.  #TheHuntIsOnHBO #MissionImpossibleFal…",#MissionImpossibleFallout,539165451
21853,"RT @HBOINDIA: #ContestAlert\u200b\n\nIf you have seen the trailer, youd know the answer!  #TheHuntIsOnHBO #MissionImpossibleFallout #MI6 https://…",#MissionImpossibleFallout,539165451
21854,RT @HBOINDIA: Bad idea: Jumping off the plane. \u200b\nGood idea: Watching #EthanHunt do it.\u200b\n\n#TheHuntIsOnHBO #MI6 #MissionImpossibleFallout htt…,#MissionImpossibleFallout,539165451
21855,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,1116159427
21856,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,1464315997
21857,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,427305859
21858,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,1919973978
21859,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,946875617953353000
21860,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,19899301
21861,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,351619045
21862,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,20186972
21863,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,354205351
21864,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,139153610
21865,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,976848548598870000
21866,RT @JennyTinmouth: Wow too cool ...so proud to have been part of the stunt team on Mission Impossible 6 #EastwoodActionStunts #MissionImpos…,#MissionImpossibleFallout,491521774
