MV_ID,MV_NAME,MV_RELDATE,MV_RUNTIME,MV_BUDGET,MV_RATING,MV_LINK,MV_DIRECTOR
5567,Roma,2018,135 min,91962,7.9,www.imdb.com/title/tt6155172/?ref_=ttls_li_tt,Alfonso Cuarón
5568,Sicario: Day of the Soldado,2018,122 min,50072235,7.1,www.imdb.com/title/tt5052474/?ref_=ttls_li_tt,Stefano Sollima
5569,Gringo,2018,111 min,4969853,6.1,www.imdb.com/title/tt3721964/?ref_=ttls_li_tt,Nash Edgerton
5570,Solo: A Star Wars Story,2018,135 min,213767512,7,www.imdb.com/title/tt3778644/?ref_=ttls_li_tt,Ron Howard
5571,Ocean's 8,2018,110 min,139377762,6.2,www.imdb.com/title/tt5164214/?ref_=ttls_li_tt,Gary Ross
5572,Overboard,2018,112 min,50316123,5.9,www.imdb.com/title/tt1563742/?ref_=ttls_li_tt,Rob Greenberg
5573,The First Purge,2018,98 min,69086325,5.1,www.imdb.com/title/tt6133466/?ref_=ttls_li_tt,Gerard McMurray
5574,The Nun,2018,96 min,117443149,5.4,www.imdb.com/title/tt5814060/?ref_=ttls_li_tt,Corin Hardy
5575,Ant-Man and the Wasp,2018,118 min,216648740,7.1,www.imdb.com/title/tt5095030/?ref_=ttls_li_tt,Peyton Reed
5576,The Girl in the Spider's Web,2018,117 min,14841338,6.1,www.imdb.com/title/tt5177088/?ref_=ttls_li_tt,Fede Alvarez
5577,The Meg,2018,113 min,145443742,5.7,www.imdb.com/title/tt4779682/?ref_=ttls_li_tt,Jon Turteltaub
5578,First Man,2018,141 min,44936545,7.4,www.imdb.com/title/tt1213641/?ref_=ttls_li_tt,Damien Chazelle
5579,White Boy Rick,2018,111 min,24011188,6.5,www.imdb.com/title/tt4537896/?ref_=ttls_li_tt,Yann Demange
5580,The Grinch,2018,86 min,270599960,6.3,www.imdb.com/title/tt2709692/?ref_=ttls_li_tt,Scott Mosier
5581,Fantastic Beasts: The Crimes of Grindelwald,2018,134 min,159555901,6.7,www.imdb.com/title/tt4123430/?ref_=ttls_li_tt,David Yates
